root_id,region,nt_type
720575940606051500,optic_lobe,ach
720575940606053310,optic_lobe,GLUT
720575940606056370,optic_lobe,GLUT
720575940606056550,optic_lobe,ACH
720575940606057900,optic_lobe,ACH
720575940606065510,optic_lobe,ACH
720575940606074290,optic_lobe,ACH
720575940606077570,central_complex,ACH
720575940606082750,optic_lobe,ACH
720575940606085360,antennal_lobe,ACH
720575940606089900,optic_lobe,ach
720575940606093490,optic_lobe,ACH
720575940606095550,optic_lobe,ACH
720575940606098860,optic_lobe,ACH
720575940606108350,optic_lobe,ACH
720575940606112240,antennal_lobe,ACH
720575940606112940,ventral_cord,ach
720575940606114220,optic_lobe,ACH
720575940606118590,optic_lobe,ACH
720575940606121900,optic_lobe,GABA
720575940606130720,antennal_lobe,ach
720575940606130860,central_complex,ACH
720575940606137190,optic_lobe,ACH
720575940606139680,antennal_lobe,ACH
720575940606139820,optic_lobe,ACH
720575940606144870,optic_lobe,ACH
720575940606154370,antennal_lobe,ach
720575940606173630,optic_lobe,ACH
720575940606178080,optic_lobe,ach
720575940606185090,central_complex,GLUT
720575940606188320,optic_lobe,GABA
720575940606190770,optic_lobe,GABA
720575940606202290,optic_lobe,ACH
720575940606214590,antennal_lobe,ach
720575940606216480,optic_lobe,ACH
720575940606227890,antennal_lobe,SER
720575940606231730,optic_lobe,ACH
720575940606233190,optic_lobe,ACH
720575940606237630,optic_lobe,ACH
720575940606258110,optic_lobe,GLUT
720575940606267070,optic_lobe,ACH
720575940606268290,optic_lobe,ACH
720575940606269030,optic_lobe,ACH
720575940606272800,optic_lobe,ACH
720575940606284990,optic_lobe,GLUT
720575940606293950,optic_lobe,ACH
720575940606309920,optic_lobe,ach
720575940606311200,antennal_lobe,ACH
720575940606315040,antennal_lobe,ach
720575940606332350,optic_lobe,ACH
720575940606335410,central_complex,ACH
720575940606339430,optic_lobe,ach
720575940606341250,central_complex,ACH
720575940606345760,central_complex,GLUT
720575940606352050,optic_lobe,ACH
720575940606366850,central_complex,ACH
720575940606380390,antennal_lobe,ach
720575940606385440,central_complex,GABA
720575940606388000,antennal_lobe,GLUT
720575940606388060,ventral_cord,ach
720575940606397630,antennal_lobe,ach
720575940606398240,optic_lobe,ACH
720575940606401970,ventral_cord,SER
720575940606406530,optic_lobe,GLUT
720575940606406590,optic_lobe,ach
720575940606407270,antennal_lobe,GLUT
720575940606409150,antennal_lobe,ACH
720575940606416230,antennal_lobe,ACH
720575940606418110,optic_lobe,ACH
720575940606423170,optic_lobe,ACH
720575940606423840,optic_lobe,GABA
720575940606425790,optic_lobe,ACH
720575940606428850,central_complex,GLUT
720575940606430310,optic_lobe,GLUT
720575940606433410,central_complex,ACH
720575940606437920,antennal_lobe,ach
720575940606437990,antennal_lobe,ach
720575940606441150,optic_lobe,ACH
720575940606444930,optic_lobe,ACH
720575940606446770,central_complex,ACH
720575940606447550,optic_lobe,ACH
720575940606450110,antennal_lobe,GLUT
720575940606450790,optic_lobe,GABA
720575940606453950,antennal_lobe,ach
720575940606457790,optic_lobe,ACH
720575940606460290,central_complex,ach
720575940606462240,optic_lobe,GABA
720575940606469250,optic_lobe,ACH
720575940606470590,antennal_lobe,ach
720575940606473760,optic_lobe,ach
720575940606477660,central_complex,ACH
720575940606482110,optic_lobe,ACH
720575940606483890,antennal_lobe,SER
720575940606488510,optic_lobe,ACH
720575940606492350,antennal_lobe,ach
720575940606503870,antennal_lobe,ach
720575940606504370,central_complex,GLUT
720575940606505090,optic_lobe,ACH
720575940606510950,antennal_lobe,ach
720575940606517280,antennal_lobe,ach
720575940606517950,optic_lobe,ACH
720575940606519910,antennal_lobe,ach
720575940606521180,optic_lobe,ACH
720575940606528130,central_complex,ACH
720575940606537150,optic_lobe,GABA
720575940606539040,optic_lobe,ACH
720575940606543490,optic_lobe,ACH
720575940606549280,optic_lobe,GABA
720575940606552450,ventral_cord,ach
720575940606559590,optic_lobe,ACH
720575940606563360,optic_lobe,ACH
720575940606573490,central_complex,GLUT
720575940606573600,optic_lobe,GABA
720575940606574210,optic_lobe,ACH
720575940606578110,antennal_lobe,ach
720575940606578790,antennal_lobe,ach
720575940606585190,optic_lobe,GABA
720575940606595430,optic_lobe,ACH
720575940606603040,optic_lobe,ACH
